SeqNumber|JobNumber|Kit|PONumber|CompanyName|AttentionTo|Add1|Add2|Add3|City|StateProv|Country|Zip|PhoneNum|Service|BillTo|Package|Weight|SatDelivery|ResDelivery|GeneralDescription|InvReasonForExport|ImporterSameAsShipTo|GoodsDescriptionOfGoods|GoodsInvNAFTACOCountryOfOrigin|GoodsInvoiceUnits|GoodsInvoiceUnitsOfMeasure|GoodsInvoiceSEDUnitPrice|GoodsSEDCOGrossWeight|ThirdPartyCompanyName|ThirdPartyStreet|ThirdPartyCountry|ThirdPartyZip|ThirdPartyCity|ThirdPartyState|ThirdPartyAccount|ShipDate|DeliverBy|Blind Company|Dimension|PackID|Misc Reference 1|Misc Reference 2|Misc Reference 3|Misc Reference 4|Misc Reference 5|Insurance|Shipment_Type|Shipment_Type_Value
540f5edec63f8|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #5617|Store Manager||2230 OTAY LAKES RD||CHULA VISTA|CA|US|91915|5856639000|UPS2DP|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec6447|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #5747|Store Manager||1016 BAYSIDE DR||NEWPORT BEACH|CA|US|92660|5856639000|UPS2DP|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec647a|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #11190|Store Manager||2 S DUPONT HWY||CAMDEN|DE|US|19934|5856639000|UPS2DP|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec64aa|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #11202|Store Manager||19927 CENTURY BLVD||GERMANTOWN|MD|US|20874|5856639000|UPS2DP|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec64db|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #11387|Store Manager||2850 CAPITAL BLVD||RALEIGH|NC|US|27604|5856639000|UPS2DP|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec650b|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #10329|Store Manager||335 N MAIN ST||BARRE|VT|US|05641|5856639000|UPS2DP|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec653b|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #11458|Store Manager||614 BRAWLEY SCHOOL RD||MOORESVILLE|NC|US|28117|5856639000|UPS3DP|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec656b|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #6383|Store Manager||600 W 7TH ST||LOS ANGELES|CA|US|90017|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec659b|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #6371|Store Manager||300 E WILLOW ST||LONG BEACH|CA|US|90806|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec65cb|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #5777|Store Manager||600 W VENTURA ST||FILLMORE|CA|US|93015|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec6603|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #6356|Store Manager||4100 LONE TREE WAY||ANTIOCH|CA|US|94531|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec6633|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #6158|Store Manager||100 E MINERAL AVE||LITTLETON|CO|US|80122|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec6663|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #10313|Store Manager|SPRINGFIELD SC STE 25 CHESTER RD|48 SPRINGFIELD ST||SPRINGFIELD|MA|US|01107|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec6693|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #10110|Store Manager||467 BOSTON RD||BILLERICA|MA|US|01821|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec66c1|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #10112|Store Manager||76 SOUTH MAIN ST||HAVERHILL|MA|US|01830|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec66f1|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #10131|Store Manager||15 HAVERHILL RD||AMESBURY|MA|US|01913|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec6721|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #10137|Store Manager||4 WASHINGTON ST||CANTON|MA|US|02021|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec6751|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #10164|Store Manager||405 BROADWAY||EVERETT|MA|US|02149|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec6780|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #10173|Store Manager||11 PEARL ST||BRAINTREE|MA|US|02184|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec67af|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #10176|Store Manager||725 CENTRE ST||BROCKTON|MA|US|02302|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec67de|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #10208|Store Manager||2170 ACUSHNET AVE||NEW BEDFORD|MA|US|02745|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
540f5edec680d|8413a|1|1312, 2222 - AG RPG Summer Caption Strips|RITE AID #1025|Store Manager||46977 ROMEO PLANK RD||MACOMB|MI|US|48044|5856639000|UPSGRD|Third Party|Package|1|N|N|Printed Material $1.00 Value|Sale|Y|Printed Material $1.00 Value|US|1|EA|1|1|Acco Brands|101 O'Neil Road|US|13838|Sidney|NY|462135866|09/09/2014|||7x5x5||AG RPG Summer Caption Strips|1312, 2222|1|||0|Batch Ship|batch_540f0dc20b31d
