subject='ups-sqlwriteback-loopruntime', 	 description='0.00265598', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:16:55'
subject='ups-validation-loopruntime', 	 description='2.27776098', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:17:32'
subject='ups-sqlwriteback-loopruntime', 	 description='0.00251985', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:17:32'
subject='ups-validation-loopruntime', 	 description='1.86149216', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:17:50'
subject='ups-sqlwriteback-loopruntime', 	 description='0.00324893', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:17:50'
subject='ups-validation-loopruntime', 	 description='0.49993396', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:20:46'
subject='ups-sqlwriteback-loopruntime', 	 description='0.00221109', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:20:46'
subject='ups-validation-loopruntime', 	 description='0.86404204', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:22:58'
subject='ups-sqlwriteback-loopruntime', 	 description='0.00312495', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:22:58'
subject='ups-validation-loopruntime', 	 description='1.58066201', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:30:04'
subject='ups-sqlwriteback-loopruntime', 	 description='0.00338197', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:30:04'
subject='ups-validation-loopruntime', 	 description='0.68740487', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:30:14'
subject='ups-sqlwriteback-loopruntime', 	 description='0.00349689', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:30:14'
subject='ups-validation-loopruntime', 	 description='1.15233302', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:30:54'
subject='ups-sqlwriteback-loopruntime', 	 description='0.00463295', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:30:54'
subject='ups-validation-loopruntime', 	 description='2.64999914', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:54:58'
subject='ups-sqlwriteback-loopruntime', 	 description='0.00272703', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:54:58'
subject='ups-validation-loopruntime', 	 description='2.10333991', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:55:04'
subject='ups-sqlwriteback-loopruntime', 	 description='0.00296021', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 13:55:04'
subject='ups-validation-loopruntime', 	 description='2.07670116', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 14:16:21'
subject='ups-sqlwriteback-loopruntime', 	 description='0.00377798', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 14:16:21'
subject='proccess_addresses', 	 description='addresses processed', 	 batch_id='1', 	 user_id='1', 	 timestamp='2014-09-17 15:35:30'
